C1 BodySize,C1 WicksUp,C1 WicksDown,C1 CandleType,C2 BodySize,C2 WicksUp,C2 WicksDown,C2 CandleType,C3 BodySize,C3 WicksUp,C3 WicksDown,C3 CandleType,P0ICTION OUTPUT
0.041,0.09,0.01,1,0.019,0.001,0.061,0,0.121,0,0,0,0
0.019,0.001,0.061,0,0.121,0,0,0,0.081,0.01,0.02,0,1
0.121,0,0,0,0.081,0.01,0.02,0,0.128,0,0.022,1,1
0.081,0.01,0.02,0,0.128,0,0.022,1,0.092,0.021,0.001,1,1
0.128,0,0.022,1,0.092,0.021,0.001,1,0.108,0.049,0.093,1,0
0.092,0.021,0.001,1,0.108,0.049,0.093,1,0.318,0.002,0.17,0,0
0.108,0.049,0.093,1,0.318,0.002,0.17,0,0.03,0.117,0.08,0,1
0.318,0.002,0.17,0,0.03,0.117,0.08,0,0.419,0,0.061,1,0
0.03,0.117,0.08,0,0.419,0,0.061,1,0.023,0.019,0.228,0,0
0.419,0,0.061,1,0.023,0.019,0.228,0,0.001,0.003,0.117,0,1
0.023,0.019,0.228,0,0.001,0.003,0.117,0,0.081,0.242,0.097,1,1
0.001,0.003,0.117,0,0.081,0.242,0.097,1,0.63,0.171,0.01,1,1
0.081,0.242,0.097,1,0.63,0.171,0.01,1,0.423,0.539,0.01,1,1
0.63,0.171,0.01,1,0.423,0.539,0.01,1,0.191,0.047,0.19,1,0
0.423,0.539,0.01,1,0.191,0.047,0.19,1,0.224,0.097,0.117,0,1
0.191,0.047,0.19,1,0.224,0.097,0.117,0,0.254,0.146,0.097,1,1
0.224,0.097,0.117,0,0.254,0.146,0.097,1,0.347,0,0.171,1,0
0.254,0.146,0.097,1,0.347,0,0.171,1,0.188,0.213,0.03,0,0
0.347,0,0.171,1,0.188,0.213,0.03,0,0.051,0.137,0.193,0,0
0.188,0.213,0.03,0,0.051,0.137,0.193,0,0.06,0.121,0.08,0,1
0.051,0.137,0.193,0,0.06,0.121,0.08,0,0.027,0.004,0.213,1,1
0.06,0.121,0.08,0,0.027,0.004,0.213,1,0.681,0.09,0.009,1,1
0.027,0.004,0.213,1,0.681,0.09,0.009,1,0.522,0.058,0.81,1,0
0.681,0.09,0.009,1,0.522,0.058,0.81,1,0.21,0.35,0.141,0,1
0.522,0.058,0.81,1,0.21,0.35,0.141,0,0.318,0.09,0.25,1,0
0.21,0.35,0.141,0,0.318,0.09,0.25,1,0.418,0.24,0.09,0,0
0.318,0.09,0.25,1,0.418,0.24,0.09,0,0.411,0.11,0.11,0,1
0.418,0.24,0.09,0,0.411,0.11,0.11,0,0.037,0.101,0.28,1,1
0.411,0.11,0.11,0,0.037,0.101,0.28,1,0.12,0.304,0.086,1,1
0.037,0.101,0.28,1,0.12,0.304,0.086,1,0.073,0.328,0,1,0
0.12,0.304,0.086,1,0.073,0.328,0,1,0.19,0.05,0.39,0,1
0.073,0.328,0,1,0.19,0.05,0.39,0,0.113,0.057,0.417,1,0
0.19,0.05,0.39,0,0.113,0.057,0.417,1,0.191,0.129,0.146,0,0
0.113,0.057,0.417,1,0.191,0.129,0.146,0,0.086,0.031,0.121,0,1
0.191,0.129,0.146,0,0.086,0.031,0.121,0,0.289,0.11,0.04,1,0
0.086,0.031,0.121,0,0.289,0.11,0.04,1,0.487,0.114,0.32,0,1
0.289,0.11,0.04,1,0.487,0.114,0.32,0,0.04,0.08,0.433,1,1
0.487,0.114,0.32,0,0.04,0.08,0.433,1,0.119,0.1,0.221,1,1
0.04,0.08,0.433,1,0.119,0.1,0.221,1,0.231,0,0.02,1,1
0.119,0.1,0.221,1,0.231,0,0.02,1,0.09,0.112,0.181,1,1
0.231,0,0.02,1,0.09,0.112,0.181,1,0.202,0.011,0.121,1,1
0.09,0.112,0.181,1,0.202,0.011,0.121,1,0.59,0.117,0.024,1,1
0.202,0.011,0.121,1,0.59,0.117,0.024,1,0.53,0.048,0.09,1,0
0.59,0.117,0.024,1,0.53,0.048,0.09,1,0.301,0.12,0.1,0,0
0.53,0.048,0.09,1,0.301,0.12,0.1,0,0.199,0.22,0.071,0,0
0.301,0.12,0.1,0,0.199,0.22,0.071,0,0.201,0,0.053,0,1
0.199,0.22,0.071,0,0.201,0,0.053,0,0.21,0.081,0.053,1,1
0.201,0,0.053,0,0.21,0.081,0.053,1,0.004,0.12,0.226,1,1
0.21,0.081,0.053,1,0.004,0.12,0.226,1,0.5,0.021,0.139,1,0
0.004,0.12,0.226,1,0.5,0.021,0.139,1,0.1,0.051,0.19,0,0
0.5,0.021,0.139,1,0.1,0.051,0.19,0,0.044,0.309,0.197,0,0
0.1,0.051,0.19,0,0.044,0.309,0.197,0,0.4,0.034,0.067,0,1
0.044,0.309,0.197,0,0.4,0.034,0.067,0,0.261,0.036,0.059,1,1
0.4,0.034,0.067,0,0.261,0.036,0.059,1,0.431,0.057,0,1,1
0.261,0.036,0.059,1,0.431,0.057,0,1,0.128,0.132,0.2,1,1
0.431,0.057,0,1,0.128,0.132,0.2,1,0.212,0.211,0.22,1,1
0.128,0.132,0.2,1,0.212,0.211,0.22,1,0.36,0.378,0.02,1,1
0.212,0.211,0.22,1,0.36,0.378,0.02,1,0.204,0.127,0.227,1,1
0.36,0.378,0.02,1,0.204,0.127,0.227,1,0.467,0.12,0.013,1,0
0.204,0.127,0.227,1,0.467,0.12,0.013,1,0.714,0.11,0.016,0,0
0.467,0.12,0.013,1,0.714,0.11,0.016,0,0.127,0.224,0.149,0,0
0.714,0.11,0.016,0,0.127,0.224,0.149,0,0.889,0.068,0.061,0,0
0.127,0.224,0.149,0,0.889,0.068,0.061,0,0.084,0,0.256,0,1
0.889,0.068,0.061,0,0.084,0,0.256,0,0.303,0.111,0.027,1,1
0.084,0,0.256,0,0.303,0.111,0.027,1,0.307,0.103,0.011,1,1
0.303,0.111,0.027,1,0.307,0.103,0.011,1,1.709,0.171,0,1,0
0.307,0.103,0.011,1,1.709,0.171,0,1,0.58,0.027,0.043,0,1
1.709,0.171,0,1,0.58,0.027,0.043,0,0.151,0.04,0.173,1,0
