C1 BodySize,C1 WicksUp,C1 WicksDown,C1 CandleType,C2 BodySize,C2 WicksUp,C2 WicksDown,C2 CandleType,C3 BodySize,C3 WicksUp,C3 WicksDown,C3 CandleType,P0ICTION OUTPUT
0.031,0,0.18,0,0.04,0.11,0.093,1,0.267,0.001,0.03,1,1
0.04,0.11,0.093,1,0.267,0.001,0.03,1,0.043,0.191,0.067,1,0
0.267,0.001,0.03,1,0.043,0.191,0.067,1,0.411,0,0.093,0,1
0.043,0.191,0.067,1,0.411,0,0.093,0,0.49,0.02,0.093,1,0
0.411,0,0.093,0,0.49,0.02,0.093,1,0.02,0.161,0.022,0,0
0.49,0.02,0.093,1,0.02,0.161,0.022,0,0.04,0.09,0.083,0,1
0.02,0.161,0.022,0,0.04,0.09,0.083,0,0.44,0,0.023,1,0
0.04,0.09,0.083,0,0.44,0,0.023,1,0.3,0.1,0.1,0,1
0.44,0,0.023,1,0.3,0.1,0.1,0,0.07,0.037,0.011,1,1
0.3,0.1,0.1,0,0.07,0.037,0.011,1,0.617,0.021,0.11,1,1
0.07,0.037,0.011,1,0.617,0.021,0.11,1,0.021,0.31,0.027,1,0
0.617,0.021,0.11,1,0.021,0.31,0.027,1,0.19,0.141,0.01,0,0
0.021,0.31,0.027,1,0.19,0.141,0.01,0,0.19,0.11,0.138,0,1
0.19,0.141,0.01,0,0.19,0.11,0.138,0,0.193,0.148,0.06,1,0
0.19,0.11,0.138,0,0.193,0.148,0.06,1,0.079,0.06,0.031,0,1
0.193,0.148,0.06,1,0.079,0.06,0.031,0,1.264,0.589,0.03,1,0
0.079,0.06,0.031,0,1.264,0.589,0.03,1,0.402,0.211,0.071,0,1
1.264,0.589,0.03,1,0.402,0.211,0.071,0,1.641,0.38,0.01,1,1
0.402,0.211,0.071,0,1.641,0.38,0.01,1,1.06,0.012,0.528,1,0
1.641,0.38,0.01,1,1.06,0.012,0.528,1,0.578,0,0.053,0,0
1.06,0.012,0.528,1,0.578,0,0.053,0,0.351,0.22,0.073,0,1
0.578,0,0.053,0,0.351,0.22,0.073,0,0.899,0.101,0.001,1,0
0.351,0.22,0.073,0,0.899,0.101,0.001,1,0.094,0.016,0.249,0,0
0.899,0.101,0.001,1,0.094,0.016,0.249,0,0.236,0.011,0.101,0,0
0.094,0.016,0.249,0,0.236,0.011,0.101,0,0.47,0.021,0.027,0,0
0.236,0.011,0.101,0,0.47,0.021,0.027,0,0.287,0.01,0.14,0,0
0.47,0.021,0.027,0,0.287,0.01,0.14,0,0.072,0.2,0.238,0,0
0.287,0.01,0.14,0,0.072,0.2,0.238,0,0.108,0.113,0.119,0,1
0.072,0.2,0.238,0,0.108,0.113,0.119,0,0.606,0.123,0.011,1,0
0.108,0.113,0.119,0,0.606,0.123,0.011,1,0.229,0,0.408,0,0
0.606,0.123,0.011,1,0.229,0,0.408,0,0.127,0.13,0.103,0,1
0.229,0,0.408,0,0.127,0.13,0.103,0,0.38,0.106,0.033,1,1
0.127,0.13,0.103,0,0.38,0.106,0.033,1,0.001,0.4,0.089,1,0
0.38,0.106,0.033,1,0.001,0.4,0.089,1,0.27,0.15,0.166,0,0
0.001,0.4,0.089,1,0.27,0.15,0.166,0,0.49,0.066,0.244,0,1
0.27,0.15,0.166,0,0.49,0.066,0.244,0,0.359,0.021,0,1,0
0.49,0.066,0.244,0,0.359,0.021,0,1,0.1,0.17,0.124,0,1
0.359,0.021,0,1,0.1,0.17,0.124,0,0.3,0.261,0.122,1,0
0.1,0.17,0.124,0,0.3,0.261,0.122,1,0.024,0.2,0.077,0,0
0.3,0.261,0.122,1,0.024,0.2,0.077,0,0.379,0.091,0.023,0,0
0.024,0.2,0.077,0,0.379,0.091,0.023,0,0.01,0.681,0.042,0,0
0.379,0.091,0.023,0,0.01,0.681,0.042,0,0.831,0.2,0.069,0,1
0.01,0.681,0.042,0,0.831,0.2,0.069,0,0.15,0.19,0.113,1,0
0.831,0.2,0.069,0,0.15,0.19,0.113,1,0.102,0.298,0.001,0,0
0.15,0.19,0.113,1,0.102,0.298,0.001,0,0.521,0.203,0.05,0,0
0.102,0.298,0.001,0,0.521,0.203,0.05,0,0.169,0.151,1.091,0,1
0.521,0.203,0.05,0,0.169,0.151,1.091,0,0.092,0.041,0.491,1,1
0.169,0.151,1.091,0,0.092,0.041,0.491,1,0.21,0.079,0.321,1,1
0.092,0.041,0.491,1,0.21,0.079,0.321,1,0.826,0,0.084,1,1
0.21,0.079,0.321,1,0.826,0,0.084,1,0.433,0.351,0.18,1,1
0.826,0,0.084,1,0.433,0.351,0.18,1,0.047,0.324,0.163,1,1
0.433,0.351,0.18,1,0.047,0.324,0.163,1,0.109,0.341,0.241,1,0
0.047,0.324,0.163,1,0.109,0.341,0.241,1,0.087,0.57,0.39,0,1
0.109,0.341,0.241,1,0.087,0.57,0.39,0,0.11,0.184,0.2,1,1
0.087,0.57,0.39,0,0.11,0.184,0.2,1,0.063,0.387,0.038,1,0
0.11,0.184,0.2,1,0.063,0.387,0.038,1,0.009,0.761,0.41,0,0
0.063,0.387,0.038,1,0.009,0.761,0.41,0,0.12,0.35,0.161,0,1
0.009,0.761,0.41,0,0.12,0.35,0.161,0,0.84,0.07,0,1,0
0.12,0.35,0.161,0,0.84,0.07,0,1,1.53,0.01,1.013,0,1
0.84,0.07,0,1,1.53,0.01,1.013,0,0.358,0.062,0.262,1,1
1.53,0.01,1.013,0,0.358,0.062,0.262,1,0.33,0.099,0.238,1,0
0.358,0.062,0.262,1,0.33,0.099,0.238,1,0.137,0.203,0.083,0,0
0.33,0.099,0.238,1,0.137,0.203,0.083,0,0.6,0.21,0.064,0,1
0.137,0.203,0.083,0,0.6,0.21,0.064,0,0.701,0.12,0.153,1,1
0.6,0.21,0.064,0,0.701,0.12,0.153,1,0.02,0.491,0.21,1,0
0.701,0.12,0.153,1,0.02,0.491,0.21,1,0.091,0.28,0.043,0,0
0.02,0.491,0.21,1,0.091,0.28,0.043,0,0.941,0.177,0,0,1
0.091,0.28,0.043,0,0.941,0.177,0,0,0.116,0.113,0.164,1,1
0.941,0.177,0,0,0.116,0.113,0.164,1,0.001,0.02,0.627,1,1
0.116,0.113,0.164,1,0.001,0.02,0.627,1,0.883,0.667,0.298,1,0
0.001,0.02,0.627,1,0.883,0.667,0.298,1,0.289,0.211,0.204,0,0
0.883,0.667,0.298,1,0.289,0.211,0.204,0,1.36,0.038,0.403,0,1
0.289,0.211,0.204,0,1.36,0.038,0.403,0,0.19,0.341,0.12,1,1
1.36,0.038,0.403,0,0.19,0.341,0.12,1,0.08,0.351,0.342,1,1
0.19,0.341,0.12,1,0.08,0.351,0.342,1,0.297,0.033,0.09,1,1
0.08,0.351,0.342,1,0.297,0.033,0.09,1,0.289,0,0.45,1,1
0.297,0.033,0.09,1,0.289,0,0.45,1,0.64,0.123,0.139,1,0
0.289,0,0.45,1,0.64,0.123,0.139,1,0.38,0.018,0.113,0,1
0.64,0.123,0.139,1,0.38,0.018,0.113,0,0.288,0.022,0.11,1,0
0.38,0.018,0.113,0,0.288,0.022,0.11,1,0.21,0.02,0.181,0,1
0.288,0.022,0.11,1,0.21,0.02,0.181,0,0.361,0.1,0.26,1,0
0.21,0.02,0.181,0,0.361,0.1,0.26,1,0.47,0,0.012,0,0
0.361,0.1,0.26,1,0.47,0,0.012,0,0.44,0.061,0.29,0,0
0.47,0,0.012,0,0.44,0.061,0.29,0,0.05,0.21,0.27,0,0
0.44,0.061,0.29,0,0.05,0.21,0.27,0,0.37,0,0.133,0,1
0.05,0.21,0.27,0,0.37,0,0.133,0,0.18,0.367,0.119,1,0
0.37,0,0.133,0,0.18,0.367,0.119,1,1.32,0.076,0.601,0,1
0.18,0.367,0.119,1,1.32,0.076,0.601,0,0.108,0.379,0.18,1,1
1.32,0.076,0.601,0,0.108,0.379,0.18,1,0.119,0.301,0.637,1,1
0.108,0.379,0.18,1,0.119,0.301,0.637,1,0.204,0.11,0.336,1,0
0.119,0.301,0.637,1,0.204,0.11,0.336,1,0.161,0.06,0.14,0,0
0.204,0.11,0.336,1,0.161,0.06,0.14,0,0.261,0.08,0.329,0,0
0.161,0.06,0.14,0,0.261,0.08,0.329,0,0.508,0,0.811,0,1
0.261,0.08,0.329,0,0.508,0,0.811,0,0.212,0.091,0.538,1,1
0.508,0,0.811,0,0.212,0.091,0.538,1,0.467,0.254,0.039,1,0
0.212,0.091,0.538,1,0.467,0.254,0.039,1,0.457,0,0.131,0,0
0.467,0.254,0.039,1,0.457,0,0.131,0,0.31,0.311,0.019,0,1
0.457,0,0.131,0,0.31,0.311,0.019,0,0.391,0.07,0.19,1,0
0.31,0.311,0.019,0,0.391,0.07,0.19,1,0.14,0.151,0.052,0,1
0.391,0.07,0.19,1,0.14,0.151,0.052,0,0.459,0.06,0.033,1,0
0.14,0.151,0.052,0,0.459,0.06,0.033,1,0.151,0.06,0.15,0,1
0.459,0.06,0.033,1,0.151,0.06,0.15,0,0.51,0.327,0.05,1,0
0.151,0.06,0.15,0,0.51,0.327,0.05,1,0.011,0.15,0.042,0,1
0.51,0.327,0.05,1,0.011,0.15,0.042,0,0.2,0.009,0.211,1,1
0.011,0.15,0.042,0,0.2,0.009,0.211,1,0.18,0.031,0.099,1,1
0.2,0.009,0.211,1,0.18,0.031,0.099,1,0.18,0.1,0.39,1,0
0.18,0.031,0.099,1,0.18,0.1,0.39,1,0.259,0.157,0.094,0,1
0.18,0.1,0.39,1,0.259,0.157,0.094,0,0.36,0.221,0.01,1,1
0.259,0.157,0.094,0,0.36,0.221,0.01,1,0.726,0.174,0.001,1,0
0.36,0.221,0.01,1,0.726,0.174,0.001,1,0.128,0.113,0.02,0,1
0.726,0.174,0.001,1,0.128,0.113,0.02,0,0.453,0.19,0.028,1,0
0.128,0.113,0.02,0,0.453,0.19,0.028,1,0.26,0,0.21,0,0
0.453,0.19,0.028,1,0.26,0,0.21,0,0.451,0.08,0.02,0,0
0.26,0,0.21,0,0.451,0.08,0.02,0,0.06,0.141,0.052,0,1
0.451,0.08,0.02,0,0.06,0.141,0.052,0,0.04,0.131,0.01,1,1
0.06,0.141,0.052,0,0.04,0.131,0.01,1,0.277,0.023,0.021,1,0
0.04,0.131,0.01,1,0.277,0.023,0.021,1,0.187,0.1,0.011,0,0
0.277,0.023,0.021,1,0.187,0.1,0.011,0,0.429,0.188,0.081,0,0
0.187,0.1,0.011,0,0.429,0.188,0.081,0,0.19,0.22,0.091,0,1
0.429,0.188,0.081,0,0.19,0.22,0.091,0,0.3,0.001,0.133,1,1
0.19,0.22,0.091,0,0.3,0.001,0.133,1,0.08,0.051,0.213,1,1
0.3,0.001,0.133,1,0.08,0.051,0.213,1,0.059,0.01,0.261,1,1
0.08,0.051,0.213,1,0.059,0.01,0.261,1,0.09,0.01,0.16,1,1
0.059,0.01,0.261,1,0.09,0.01,0.16,1,0.287,0.011,0.03,1,1
0.09,0.01,0.16,1,0.287,0.011,0.03,1,0.061,0.04,0.139,1,1
0.287,0.011,0.03,1,0.061,0.04,0.139,1,0.002,0.028,0.088,1,0
0.061,0.04,0.139,1,0.002,0.028,0.088,1,0.057,0.001,0.08,0,0
0.002,0.028,0.088,1,0.057,0.001,0.08,0,0.34,0.02,0.01,0,1
0.057,0.001,0.08,0,0.34,0.02,0.01,0,0.278,0.162,0.08,1,1
0.34,0.02,0.01,0,0.278,0.162,0.08,1,0.299,0.033,0.247,1,1
0.278,0.162,0.08,1,0.299,0.033,0.247,1,0.012,0.27,0.028,1,1
0.299,0.033,0.247,1,0.012,0.27,0.028,1,0.049,0.041,0.024,1,1
0.012,0.27,0.028,1,0.049,0.041,0.024,1,0.072,0.038,0.168,1,0
0.049,0.041,0.024,1,0.072,0.038,0.168,1,0.46,0.04,0.013,0,1
0.072,0.038,0.168,1,0.46,0.04,0.013,0,0.259,0.011,0.194,1,1
0.46,0.04,0.013,0,0.259,0.011,0.194,1,0.071,0.27,0.06,1,1
0.259,0.011,0.194,1,0.071,0.27,0.06,1,0.029,0.168,0.103,1,1
0.071,0.27,0.06,1,0.029,0.168,0.103,1,0.207,0,0.141,1,1
0.029,0.168,0.103,1,0.207,0,0.141,1,0.192,0.107,0.077,1,1
0.207,0,0.141,1,0.192,0.107,0.077,1,0.106,0.001,0.101,1,1
0.192,0.107,0.077,1,0.106,0.001,0.101,1,0.143,0.101,0.02,1,1
0.106,0.001,0.101,1,0.143,0.101,0.02,1,0.249,0.131,0.004,1,1
0.143,0.101,0.02,1,0.249,0.131,0.004,1,0.02,0.061,0.07,1,0
0.249,0.131,0.004,1,0.02,0.061,0.07,1,0.163,0,0.007,0,1
0.02,0.061,0.07,1,0.163,0,0.007,0,0.063,0.02,0,1,1
0.163,0,0.007,0,0.063,0.02,0,1,0.1,0.001,0.02,1,0
0.063,0.02,0,1,0.1,0.001,0.02,1,0.011,0.06,0.08,0,1
0.1,0.001,0.02,1,0.011,0.06,0.08,0,0.172,0.04,0,1,1
0.011,0.06,0.08,0,0.172,0.04,0,1,0.05,0.03,0,1,0
0.172,0.04,0,1,0.05,0.03,0,1,0.024,0.074,0.092,0,1
0.05,0.03,0,1,0.024,0.074,0.092,0,0.072,0.117,0,1,0
0.024,0.074,0.092,0,0.072,0.117,0,1,0.131,0.206,0,0,0
0.072,0.117,0,1,0.131,0.206,0,0,0.09,0.126,0,0,0
0.131,0.206,0,0,0.09,0.126,0,0,0.749,0.021,0.021,0,1
0.09,0.126,0,0,0.749,0.021,0.021,0,0.12,0.09,0.31,1,1
0.749,0.021,0.021,0,0.12,0.09,0.31,1,0.03,0.1,0.134,1,1
0.12,0.09,0.31,1,0.03,0.1,0.134,1,0.07,0.031,0.173,1,0
0.03,0.1,0.134,1,0.07,0.031,0.173,1,0.2,0.08,0.03,0,0
0.07,0.031,0.173,1,0.2,0.08,0.03,0,0.51,0,0,0,1
0.2,0.08,0.03,0,0.51,0,0,0,0.099,0.161,0.01,1,1
0.51,0,0,0,0.099,0.161,0.01,1,0.11,0.14,0.091,1,0
0.099,0.161,0.01,1,0.11,0.14,0.091,1,0.021,0.15,0.06,0,0
0.11,0.14,0.091,1,0.021,0.15,0.06,0,0.742,0.021,0.028,0,0
0.021,0.15,0.06,0,0.742,0.021,0.028,0,0.017,0.183,0.084,0,0
0.742,0.021,0.028,0,0.017,0.183,0.084,0,0.51,0.03,0.009,0,1
0.017,0.183,0.084,0,0.51,0.03,0.009,0,0.19,0.16,0.13,1,0
0.51,0.03,0.009,0,0.19,0.16,0.13,1,0.19,0.118,0.183,0,0
0.19,0.16,0.13,1,0.19,0.118,0.183,0,0.1,0.14,0.091,0,0
0.19,0.118,0.183,0,0.1,0.14,0.091,0,0.169,0.04,0.073,0,1
0.1,0.14,0.091,0,0.169,0.04,0.073,0,0.211,0.119,0.08,1,1
0.169,0.04,0.073,0,0.211,0.119,0.08,1,0.099,0.071,0.164,1,1
0.211,0.119,0.08,1,0.099,0.071,0.164,1,0.28,0.07,0.009,1,1
0.099,0.071,0.164,1,0.28,0.07,0.009,1,0.109,0.011,0.074,1,0
0.28,0.07,0.009,1,0.109,0.011,0.074,1,0.02,0.1,0.121,0,0
0.109,0.011,0.074,1,0.02,0.1,0.121,0,0.089,0.09,0.021,0,0
0.02,0.1,0.121,0,0.089,0.09,0.021,0,0.57,0.011,0.082,0,1
0.089,0.09,0.021,0,0.57,0.011,0.082,0,0.183,0.061,0.11,1,0
0.57,0.011,0.082,0,0.183,0.061,0.11,1,0.49,0.02,0.193,0,0
0.183,0.061,0.11,1,0.49,0.02,0.193,0,0.11,0.091,0.143,0,0
0.49,0.02,0.193,0,0.11,0.091,0.143,0,0.58,0.02,0.142,0,1
0.11,0.091,0.143,0,0.58,0.02,0.142,0,0.339,0.121,0.054,1,0
0.58,0.02,0.142,0,0.339,0.121,0.054,1,0.379,0.001,0.054,0,1
0.339,0.121,0.054,1,0.379,0.001,0.054,0,0.229,0.258,1.05,1,1
0.379,0.001,0.054,0,0.229,0.258,1.05,1,0.114,0.199,0.287,1,1
0.229,0.258,1.05,1,0.114,0.199,0.287,1,0.781,0.22,0.09,1,0
0.114,0.199,0.287,1,0.781,0.22,0.09,1,0.07,0.121,0.54,0,0
0.781,0.22,0.09,1,0.07,0.121,0.54,0,0.22,0.6,0.081,0,1
0.07,0.121,0.54,0,0.22,0.6,0.081,0,0.02,0.03,0.514,1,1
0.22,0.6,0.081,0,0.02,0.03,0.514,1,0.19,0.31,0.001,1,1
0.02,0.03,0.514,1,0.19,0.31,0.001,1,0.909,0.311,0.001,1,1
0.19,0.31,0.001,1,0.909,0.311,0.001,1,0.11,0.19,0.274,1,0
0.909,0.311,0.001,1,0.11,0.19,0.274,1,0.16,0.061,0.363,0,1
0.11,0.19,0.274,1,0.16,0.061,0.363,0,0.13,0.2,0.063,1,1
0.16,0.061,0.363,0,0.13,0.2,0.063,1,0,0.52,0.104,1,0
0.13,0.2,0.063,1,0,0.52,0.104,1,0.09,0.18,0.149,0,0
0,0.52,0.104,1,0.09,0.18,0.149,0,0.2,0.011,0.153,0,1
0.09,0.18,0.149,0,0.2,0.011,0.153,0,0.05,0,0.242,1,1
0.2,0.011,0.153,0,0.05,0,0.242,1,0.28,0.198,0.009,1,0
0.05,0,0.242,1,0.28,0.198,0.009,1,0.121,0.077,0.09,0,1
0.28,0.198,0.009,1,0.121,0.077,0.09,0,0.2,0.111,0,1,1
0.121,0.077,0.09,0,0.2,0.111,0,1,0.379,0.061,0.021,1,0
0.2,0.111,0,1,0.379,0.061,0.021,1,0.2,0.111,0.103,0,0
0.379,0.061,0.021,1,0.2,0.111,0.103,0,0.18,0,0.23,0,1
0.2,0.111,0.103,0,0.18,0,0.23,0,0.201,0.1,0.122,1,0
0.18,0,0.23,0,0.201,0.1,0.122,1,0.64,0,0.01,0,1
0.201,0.1,0.122,1,0.64,0,0.01,0,0.31,0.011,0.12,1,0
0.64,0,0.01,0,0.31,0.011,0.12,1,0.43,0.051,0.059,0,0
0.31,0.011,0.12,1,0.43,0.051,0.059,0,0.104,0.177,0.007,0,0
0.43,0.051,0.059,0,0.104,0.177,0.007,0,0.066,0.034,0.041,0,1
0.104,0.177,0.007,0,0.066,0.034,0.041,0,0.16,0.028,0.023,1,1
0.066,0.034,0.041,0,0.16,0.028,0.023,1,0.216,0.011,0.004,1,1
0.16,0.028,0.023,1,0.216,0.011,0.004,1,0.093,0.018,0.099,1,1
0.216,0.011,0.004,1,0.093,0.018,0.099,1,0.271,0.012,0.027,1,1
0.093,0.018,0.099,1,0.271,0.012,0.027,1,0.22,0.078,0.033,1,0
0.271,0.012,0.027,1,0.22,0.078,0.033,1,0.211,0.07,0.102,0,0
0.22,0.078,0.033,1,0.211,0.07,0.102,0,0.12,0.087,0.04,0,1
0.211,0.07,0.102,0,0.12,0.087,0.04,0,0,0.07,0.141,1,0
0.12,0.087,0.04,0,0,0.07,0.141,1,0.302,0.001,0.001,0,1
0,0.07,0.141,1,0.302,0.001,0.001,0,0.053,0.07,0.061,1,0
0.302,0.001,0.001,0,0.053,0.07,0.061,1,0.166,0.114,0.001,0,0
0.053,0.07,0.061,1,0.166,0.114,0.001,0,0.011,0.089,0.103,0,1
0.166,0.114,0.001,0,0.011,0.089,0.103,0,0.19,0.031,0.01,1,1
0.011,0.089,0.103,0,0.19,0.031,0.01,1,0.091,0.039,0.042,1,1
0.19,0.031,0.01,1,0.091,0.039,0.042,1,0,0.101,0.11,1,1
0.091,0.039,0.042,1,0,0.101,0.11,1,0.011,0.05,0.08,1,1
0,0.101,0.11,1,0.011,0.05,0.08,1,0.77,0.05,0,1,1
0.011,0.05,0.08,1,0.77,0.05,0,1,0.148,0.2,0.04,1,1
0.77,0.05,0,1,0.148,0.2,0.04,1,0.155,0.019,0.04,1,0
0.148,0.2,0.04,1,0.155,0.019,0.04,1,0.322,0,0.11,0,1
0.155,0.019,0.04,1,0.322,0,0.11,0,0.011,0.019,0.21,1,0
0.322,0,0.11,0,0.011,0.019,0.21,1,0.19,0.01,0.021,0,0
0.011,0.019,0.21,1,0.19,0.01,0.021,0,0.01,0.131,0.109,0,1
0.19,0.01,0.021,0,0.01,0.131,0.109,0,0.121,0.02,0.052,1,1
0.01,0.131,0.109,0,0.121,0.02,0.052,1,0.25,0.03,0.05,1,1
0.121,0.02,0.052,1,0.25,0.03,0.05,1,0.18,0.04,0.11,1,0
0.25,0.03,0.05,1,0.18,0.04,0.11,1,0.239,0.221,0.251,0,0
0.18,0.04,0.11,1,0.239,0.221,0.251,0,0.371,0.16,0.04,0,1
0.239,0.221,0.251,0,0.371,0.16,0.04,0,0.01,0.101,0.079,1,0
0.371,0.16,0.04,0,0.01,0.101,0.079,1,0.171,0.05,0.07,0,1
0.01,0.101,0.079,1,0.171,0.05,0.07,0,0.179,0.121,0.001,1,1
0.171,0.05,0.07,0,0.179,0.121,0.001,1,0.019,0.201,0.164,1,0
0.179,0.121,0.001,1,0.019,0.201,0.164,1,0.51,0.079,0.064,0,0
0.019,0.201,0.164,1,0.51,0.079,0.064,0,0.091,0.13,0.099,0,0
0.51,0.079,0.064,0,0.091,0.13,0.099,0,0.491,0.12,0.062,0,0
0.091,0.13,0.099,0,0.491,0.12,0.062,0,0.402,0.09,0.098,0,1
0.491,0.12,0.062,0,0.402,0.09,0.098,0,0.387,0.131,0.073,1,1
0.402,0.09,0.098,0,0.387,0.131,0.073,1,0.1,0.06,0.09,1,0
0.387,0.131,0.073,1,0.1,0.06,0.09,1,0.191,0.19,0,0,0
0.1,0.06,0.09,1,0.191,0.19,0,0,0.211,0,0.123,0,1
0.191,0.19,0,0,0.211,0,0.123,0,0.39,0.15,0.069,1,1
0.211,0,0.123,0,0.39,0.15,0.069,1,0.099,0.09,0.211,1,0
0.39,0.15,0.069,1,0.099,0.09,0.211,1,0.42,0.151,0.093,0,0
0.099,0.09,0.211,1,0.42,0.151,0.093,0,0.009,0.27,0.063,0,0
0.42,0.151,0.093,0,0.009,0.27,0.063,0,0.26,0.02,0.294,0,1
0.009,0.27,0.063,0,0.26,0.02,0.294,0,0.261,0.03,0.063,1,0
0.26,0.02,0.294,0,0.261,0.03,0.063,1,0.001,0.21,0.293,0,1
0.261,0.03,0.063,1,0.001,0.21,0.293,0,0.511,0.01,0.213,1,0
0.001,0.21,0.293,0,0.511,0.01,0.213,1,0.489,0.001,0.344,0,1
0.511,0.01,0.213,1,0.489,0.001,0.344,0,0.101,0.12,0.162,1,0
0.489,0.001,0.344,0,0.101,0.12,0.162,1,1.21,0.04,0.19,0,1
0.101,0.12,0.162,1,1.21,0.04,0.19,0,0.4,0.22,0.03,1,0
1.21,0.04,0.19,0,0.4,0.22,0.03,1,0.52,0.261,0.129,0,1
0.4,0.22,0.03,1,0.52,0.261,0.129,0,0.06,0.539,0.064,1,1
0.52,0.261,0.129,0,0.06,0.539,0.064,1,0.229,0.22,0.124,1,1
0.06,0.539,0.064,1,0.229,0.22,0.124,1,0.181,0.149,0.122,1,0
0.229,0.22,0.124,1,0.181,0.149,0.122,1,0.1,0.18,0.024,0,0
0.181,0.149,0.122,1,0.1,0.18,0.024,0,0.873,0.09,0.128,0,0
0.1,0.18,0.024,0,0.873,0.09,0.128,0,1.851,0,0.447,0,0
0.873,0.09,0.128,0,1.851,0,0.447,0,0.17,0.433,0.577,0,1
1.851,0,0.447,0,0.17,0.433,0.577,0,0.189,0.121,1.061,1,0
0.17,0.433,0.577,0,0.189,0.121,1.061,1,0.17,0.02,0.539,0,0
0.189,0.121,1.061,1,0.17,0.02,0.539,0,0.42,0.371,0.033,0,1
0.17,0.02,0.539,0,0.42,0.371,0.033,0,0.559,0.461,0.034,1,0
0.42,0.371,0.033,0,0.559,0.461,0.034,1,0.336,0,0.281,0,1
0.559,0.461,0.034,1,0.336,0,0.281,0,0.427,0.113,0.091,1,1
0.336,0,0.281,0,0.427,0.113,0.091,1,0.502,0.027,0.18,1,1
0.427,0.113,0.091,1,0.502,0.027,0.18,1,0.176,0.13,0.11,1,0
0.502,0.027,0.18,1,0.176,0.13,0.11,1,0.416,0.034,0.001,0,0
0.176,0.13,0.11,1,0.416,0.034,0.001,0,0.201,0.219,0.033,0,0
0.416,0.034,0.001,0,0.201,0.219,0.033,0,0.001,0.15,0.053,0,1
0.201,0.219,0.033,0,0.001,0.15,0.053,0,0.251,0.15,0.053,1,0
0.001,0.15,0.053,0,0.251,0.15,0.053,1,0.039,0.04,0.264,0,0
0.251,0.15,0.053,1,0.039,0.04,0.264,0,0.369,0.001,0.023,0,1
0.039,0.04,0.264,0,0.369,0.001,0.023,0,0.879,0.008,0.071,1,1
0.369,0.001,0.023,0,0.879,0.008,0.071,1,0.017,0.17,0.223,1,0
0.879,0.008,0.071,1,0.017,0.17,0.223,1,0.261,0,0.31,0,1
0.017,0.17,0.223,1,0.261,0,0.31,0,0.079,0.051,0.14,1,0
0.261,0,0.31,0,0.079,0.051,0.14,1,0.109,0.07,0.108,0,0
0.079,0.051,0.14,1,0.109,0.07,0.108,0,0.22,0.099,0.021,0,0
0.109,0.07,0.108,0,0.22,0.099,0.021,0,0.868,0.06,0.223,0,1
0.22,0.099,0.021,0,0.868,0.06,0.223,0,0.246,0.113,0.021,1,1
0.868,0.06,0.223,0,0.246,0.113,0.021,1,0.703,0,0,1,0
0.246,0.113,0.021,1,0.703,0,0,1,0.041,0.2,0.03,0,1
0.703,0,0,1,0.041,0.2,0.03,0,0.023,0.25,0.03,1,0
0.041,0.2,0.03,0,0.023,0.25,0.03,1,0.031,0.099,0.29,0,1
0.023,0.25,0.03,1,0.031,0.099,0.29,0,0.01,0.141,0.142,1,0
0.031,0.099,0.29,0,0.01,0.141,0.142,1,0.101,0.059,0.03,0,0
0.01,0.141,0.142,1,0.101,0.059,0.03,0,0.233,0.071,0.11,0,0
0.101,0.059,0.03,0,0.233,0.071,0.11,0,0.307,0.101,0.123,0,1
0.233,0.071,0.11,0,0.307,0.101,0.123,0,0.181,0.15,0.122,1,0
0.307,0.101,0.123,0,0.181,0.15,0.122,1,0.303,0.02,0.208,0,1
0.181,0.15,0.122,1,0.303,0.02,0.208,0,0.039,0.004,0.178,1,1
0.303,0.02,0.208,0,0.039,0.004,0.178,1,0.574,0.07,0.036,1,1
0.039,0.004,0.178,1,0.574,0.07,0.036,1,0.217,0.101,0.022,1,1
0.574,0.07,0.036,1,0.217,0.101,0.022,1,0.411,0.09,0.01,1,0
0.217,0.101,0.022,1,0.411,0.09,0.01,1,0.058,0.093,0.23,0,1
0.411,0.09,0.01,1,0.058,0.093,0.23,0,0.047,0.199,0.093,1,0
0.058,0.093,0.23,0,0.047,0.199,0.093,1,0.541,0.11,0.017,0,1
0.047,0.199,0.093,1,0.541,0.11,0.017,0,0.073,0.19,0.06,1,0
0.541,0.11,0.017,0,0.073,0.19,0.06,1,0.68,0.101,0.02,0,1
0.073,0.19,0.06,1,0.68,0.101,0.02,0,0.18,0.101,0.062,1,1
0.68,0.101,0.02,0,0.18,0.101,0.062,1,0.477,0.023,0.02,1,1
0.18,0.101,0.062,1,0.477,0.023,0.02,1,0.093,0.001,0.229,1,1
0.477,0.023,0.02,1,0.093,0.001,0.229,1,0.07,0.1,0.083,1,0
0.093,0.001,0.229,1,0.07,0.1,0.083,1,0.006,0.033,0.404,0,1
0.07,0.1,0.083,1,0.006,0.033,0.404,0,0.109,0.204,0.201,1,0
0.006,0.033,0.404,0,0.109,0.204,0.201,1,0.126,0.181,0.111,0,1
0.109,0.204,0.201,1,0.126,0.181,0.111,0,0.31,0,0.221,1,0
0.126,0.181,0.111,0,0.31,0,0.221,1,0.124,0.52,0.049,0,0
0.31,0,0.221,1,0.124,0.52,0.049,0,0.28,0.233,0.101,0,0
0.124,0.52,0.049,0,0.28,0.233,0.101,0,0.478,0.09,0.183,0,0
